id,name,storage_location,temperature,duration,notes,good_pairs,bad_pairs,cooking_methods,verified,pairing_verified
39,김,실온(마른김)/냉동,밀폐 건냉소 / -18℃ 이하,마른김 실온 6개월~1년 / 조미김 실온 1~2주 / 냉동 6개월,마른김은 밀폐+제습제로 실온 장기보관. 조미김은 기름 산패로 빠름. 습기 시 눅눅,밥 / 참기름 / 간장,기름,구이 / 조미 / 김밥,✓,✓
40,김가루,실온,밀폐 건냉소,개봉 전 6개월~1년 / 개봉 후 1~3개월,밀폐 필수. 습기·산패 주의,밥 / 주먹밥 / 계란말이,-,토핑 / 무침,✓,✓
41,김치,냉장,0~4℃ (김치냉장고 권장),김치냉장고 6개월 이상 / 일반 냉장 2~3주,발효 진행. 김치냉장고 최적. 묵은지는 1년 이상,두부 / 돼지고기 / 라면,-,찌개 / 볶음 / 두루치기,✓,✓
42,김치국물,냉장,0~4℃,1~2주,밀봉 냉장,소면 / 밥 / 오이,-,국물 베이스 / 양념,✓,✓
43,까나리액젓,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 2~3년 / 개봉 후 냉장 1~2년,발효식품. 개봉 후 냉장 권장. 직사광선 피하기,김치 / 나물 / 깻잎조림,-,김치 양념 / 무침 양념,✓,✓
44,깍두기,냉장,0~4℃ (김치냉장고 권장),김치냉장고 3~6개월,김치냉장고 권장,설렁탕 / 곰탕 / 순대국,-,반찬 / 볶음밥,✓,✓
45,깨,실온/냉장,밀폐 건냉소 / 냉장,실온 3~6개월 / 냉장 1년,밀폐 필수,나물 무침 / 비빔밥 / 떡 고명,-,토핑 / 볶음 / 무침,✓,✓
46,깻잎,냉장,5~10℃ (냉장고 문쪽),1~3주,농진청: 잎자루를 물 적신 종이로 감싸 지퍼백 세워 보관. 1~4℃ 저온장해 주의,삼겹살 / 불고기 / 돼지고기,-,쌈 / 장아찌 / 무침,✓,✓
47,꼬막,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 2~3개월,삶은 후 알맹이만 발라 냉동 가능. 생것은 해감 필수,쪽파 / 미나리 / 간장,-,삶기 / 무침 / 비빔,✓,✓
48,꽁치,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 2~3개월,등푸른 기름진 생선. 히스타민 위험. 구입 즉시 손질 후 냉동 권장,김치 / 무 / 대파,-,구이 / 조림 / 통조림 요리,✓,✓
49,꽃게,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1일 / 냉동 최대 10개월,갑각류는 비교적 장기 냉동 가능(해수부). 손질 후 지퍼백 밀봉. 간장게장은 냉장 1~2주,간장 / 고춧가루 / 대파,-,찜 / 탕 / 간장게장,✓,✓
50,꽈리고추,냉장,0~5℃,1~2주,밀폐 냉장,멸치 / 간장 / 꿀,-,볶음 / 조림 / 찜,✓,✓
51,꿀,실온,15~25℃ 건냉소,개봉 후에도 2년 이상 (사실상 무기한),천연 방부 효과. 결정화는 중탕으로 복원. 냉장 X(굳음),생강 / 레몬 / 마늘,홍차·녹차,차 / 드레싱 / 베이킹,✓,✓
52,낙지,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1일 / 냉동 2~3개월,선도 매우 중요. 살아있을 때 구입 권장. 손질 후 즉시 소분 냉동,콩나물 / 마늘 / 미나리,-,볶음 / 연포탕 / 구이,✓,✓
53,냉면사리,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 3~5일 / 냉동 2~3개월,생면. 개봉 후 빠른 사용,육수 / 오이 / 배,-,삶기 / 비빔 / 말이,✓,✓
54,냉이,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 3~5일 / 데쳐서 냉동 3~6개월,흙 제거 후 밀봉 냉장,된장 / 두부 / 들기름,-,된장국 / 무침 / 전,✓,✓
55,녹두,실온,밀폐 건냉소,밀폐 실온 1~2년,밀폐 보관. 빈대떡 재료,돼지기름 / 김치 / 숙주,-,빈대떡 / 죽 / 청포묵,✓,✓
56,녹차가루,실온/냉장,밀폐 건냉소 / 냉장,실온 6개월 / 냉장 1년,산화 빠름. 냉장 권장. 밀폐 필수,우유 / 팥 / 화이트초콜릿,-,음료 / 베이킹 / 아이스크림,✓,✓
57,뉴슈가,실온,밀폐 건냉소,개봉 전 유통기한 / 개봉 후 1년,사카린 감미료. 밀폐 보관,김치 담금 / 장아찌,-,감미료,✓,✓
58,느타리버섯,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 3~5일 / 냉동 3~6개월,키친타월 감싸 냉장. 산패·변질 빠름,소고기 / 마늘 / 들기름,-,볶음 / 전 / 찌개,✓,✓
59,다시다,실온,밀폐 건냉소,개봉 전 유통기한 / 개봉 후 6개월~1년,가루 형태. 밀폐 필수. 습기 주의,국물요리 전반 / 찌개 / 나물 무침,-,조미료 / 간 보조,✓,✓
60,다시마,실온,밀폐 건냉소,1~2년,건조 해조류. 밀폐 필수. 습기 주의,가쓰오부시 / 멸치 / 북어,-,우리기 / 국물내기 / 튀각,✓,✓
61,다시팩,실온,밀폐 건냉소,개봉 전 1년 / 개봉 후 6개월,건조 팩. 밀폐 필수,멸치 + 다시마 + 무 + 대파 / 국물 요리 전반,-,우리기 / 국물 베이스,✓,✓
62,다진돼지고기,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 3~4개월,USDA 기준: 다진 고기 2일 이내 소비 또는 냉동,두부 / 부추 / 새우젓,-,완자 / 볶음 / 만두소,✓,✓
63,다진마늘,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1~2주 / 냉동 3~6개월,시판은 개봉 후 1~2주. 소분 냉동 권장,고기 양념 전반 / 김치 담금 / 나물 무침,-,양념 베이스 / 볶음 시작 / 무침,✓,✓
64,다진생강,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1주 / 냉동 3~6개월,소분 냉동 권장,생선 / 돼지고기 / 꿀,-,양념 / 재움 / 차,✓,✓
65,다진소고기,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 3~4개월,USDA: 다진 고기는 2일 이내 소비 또는 냉동. 표면적 넓어 산패·세균 번식 빠름,양파 / 두부 / 당근,-,완자 / 미트볼 / 볶음,✓,✓
66,다크초콜릿,실온,15~20℃ 건냉소,1~2년,고온 시 블룸 현상. 냉장 비권장,견과류 / 딸기 / 오렌지,-,생식 / 베이킹 / 디저트,✓,✓
67,단무지,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 냉장 1~2개월,개봉 후 냉장,김밥 / 잡채 / 라면,-,김밥 속 / 생식 / 볶음,✓,✓
68,단호박,실온/냉장,10~15℃ / 자른 후 냉장,통째 실온 1~2개월 / 자른 것 냉장 1주,통째로는 서늘한 곳 장기 보관 가능,닭가슴살 / 우유 / 양파,-,찜 / 수프 / 샐러드,✓,✓
69,달래,냉장,0~4℃,5~7일,흙 제거 후 키친타월에 감싸 냉장,된장 / 간장 / 두부,-,무침 / 된장국 / 양념장,✓,✓
70,닭가슴살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 6~9개월,USDA: 닭고기 냉장 1~2일 / 냉동 9개월(부위),브로콜리 / 단호박 / 레몬,-,구이 / 삶기 / 샐러드,✓,✓
71,닭고기,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 통닭 12개월 / 부위 9개월,USDA 공식 기준. 2일 이내 사용 또는 냉동. 재냉동 맛·식감 변화,인삼 / 대추 / 마늘 / 찹쌀,-,삼계탕 / 백숙 / 튀김,✓,✓
72,닭날개,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 9개월,USDA: 닭고기 부위 냉동 9개월,마늘 / 간장 / 버터,-,튀김 / 구이 / 조림,✓,✓
73,닭다리,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 9개월,USDA: 닭고기 부위 냉동 9개월,감자 / 당근 / 양파,-,찜닭 / 조림 / 구이,✓,✓
74,닭다리살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 9개월,뼈 제거된 닭다리살. 진공포장 시 냉장 1주,양파 / 간장 / 대파,-,구이 / 볶음 / 덮밥,✓,✓
75,당근,냉장,0℃,2~3개월,농진청: 건조한 상태 유지. 키친타월·신문지로 감싸 밀폐,기름 / 소고기 / 양파,-,볶음 / 생식 / 찜,✓,✓
76,당면,실온,밀폐 건냉소,1~2년,건면. 밀폐 보관,소고기 / 시금치 / 당근 / 양파,-,잡채 / 찜닭 / 불고기전골,✓,✓
77,대추,실온/냉장/냉동,밀폐 건냉소 / 냉장 0~4℃,말린 대추 실온 1년 / 냉장 1~2년 / 냉동 2년,말린 대추 기준. 생대추는 냉장 1주,생강 / 인삼 / 꿀,-,차 / 고명 / 영양밥,✓,✓
78,대파,냉장/냉동,냉장 0~5℃ / 냉동 -18℃,냉장 1~2주 / 냉동 3개월,뿌리 남기면 시듦 지연. 흙 묻은 채 비닐보관,국물요리 전반 / 삼겹살 / 매운탕,-,양념 / 고명 / 볶음,✓,✓
79,대패삼겹살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 3~6개월,얇아서 산패 빠름. 소분하여 냉동,숙주 / 마늘 / 상추 / 김치,-,볶음 / 구이 / 쌈,✓,✓
80,도미,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 1~2일 / 냉동 3~6개월,흰살 생선. 회용은 당일 섭취. 손질 후 소분 냉동,무 / 쑥갓 / 생강,-,구이 / 조림 / 회,✓,✓
81,도토리묵,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 2~3일,수분 많아 변질 빠름,김가루 / 오이 / 양념간장,-,무침 / 샐러드 / 국물요리,✓,✓
82,돈까스소스,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 6개월,개봉 후 냉장,돈까스 / 함박스테이크 / 오므라이스,-,찍먹 / 뿌리기,✓,✓
83,돌나물,냉장,0~4℃,3~5일,수분 많음. 밀봉 냉장,초고추장 / 물김치 / 된장,-,물김치 / 무침 / 생식,✓,✓
84,동태,냉동,-18℃ 이하,6개월,명태를 냉동한 것. 해동 후 즉시 조리. 재냉동 금지,무 / 두부 / 대파,-,찌개 / 전 / 찜,✓,✓
85,돼지 갈매기살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,구이용. 희소 부위. 진공포장 시 냉장 2주,소금 / 마늘 / 상추,-,구이 / 쌈,✓,✓
86,돼지 갈비,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,진공포장 시 냉장 2주. 양념 후 냉동 시 2~3개월,배 / 양파 / 마늘 / 사과,-,구이 / 찜 / 양념구이,✓,✓
87,돼지 뒷다리,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,장조림·제육용. 진공포장 시 냉장 2주,마늘 / 양배추 / 새우젓,-,수육 / 보쌈 / 볶음,✓,✓
88,돼지 등뼈,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 2~3일 / 냉동 4~6개월,감자탕용. 핏물 제거 후 소분 냉동,감자 / 우거지 / 깻잎 / 들깨가루,-,감자탕 / 뼈해장국 / 찜,✓,✓
89,돼지 등심,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,돈까스·구이용. 진공포장 시 냉장 2주,빵가루 / 양배추 / 레몬,-,돈까스 / 스테이크 / 구이,✓,✓
90,돼지 목살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,구이용. 진공포장 시 냉장 2주,상추 / 마늘 / 된장 / 부추,-,구이 / 찜 / 스테이크,✓,✓
91,돼지 안심,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,돈까스·스테이크용. 진공포장 시 냉장 2주,허브 / 레몬 / 올리브유,-,구이 / 로스트 / 튀김,✓,✓
92,돼지 앞다리살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,볶음·찌개용. 진공포장 시 냉장 2주,김치 / 양념장 / 고추장,-,수육 / 제육볶음 / 볶음,✓,✓
93,돼지 항정살,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,구이용 희소 부위. 진공포장 시 냉장 2주,부추 / 마늘 / 된장,-,구이 / 쌈,✓,✓
94,돼지고기,냉장/냉동,냉장 0~4℃ / 냉동 -18℃ 이하,냉장 3~5일 / 냉동 4~6개월,진공포장 시 냉장 2주 가능. 핑크빛 유지 확인,새우젓 / 부추 / 김치 / 표고버섯,-,구이 / 볶음 / 찜 / 수육,✓,✓
95,된장,냉장,0~10℃,개봉 전 유통기한(1~2년) / 개봉 후 냉장 6개월~1년,발효식품. 냉장 시 곰팡이 없으면 장기보관. 표면에 물이 고이지 않게,부추 / 두부 / 냉이,-,찌개 / 쌈장 / 무침,✓,✓
96,두릅,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 2~3일 / 데쳐서 냉동 3개월,제철 짧은 봄나물. 데쳐서 냉동 권장,초고추장 / 삼겹살 / 소고기,-,데침 / 무침 / 튀김,✓,✓
97,두반장,냉장,0~10℃,개봉 전 유통기한 / 개봉 후 냉장 6개월~1년,중국식 고추 된장. 개봉 후 냉장 필수,두부 / 중화요리 / 가지,-,중화볶음 / 소스 / 양념,✓,✓
98,두부,냉장,0~4℃,개봉 전 유통기한 / 개봉 후 2~3일,개봉 후 소금물에 잠기게 보관하면 4~5일. 매일 물 교체,김치 / 미역 / 부추,-,찌개 / 부침 / 조림,✓,✓
99,두유,실온/냉장,개봉 전 실온 / 개봉 후 냉장 0~4℃,개봉 전 유통기한 / 개봉 후 2~3일,멸균팩은 실온 가능. 개봉 후 반드시 냉장,시리얼 / 커피 / 과일,-,음용 / 라떼 / 수프,✓,✓
100,들기름,냉장,0~10℃,개봉 전 6개월 / 개봉 후 1~2개월,오메가-3 풍부로 산패 매우 빠름. 반드시 냉장. 차광(종이봉투/호일로 병 감싸기),나물 / 김 / 밥 / 들깨가루,-,무침 / 비빔 / 볶음,✓,✓
101,들깨가루,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 1~3개월 / 냉동 6개월,산패 매우 빠름. 냉장·냉동 필수,미역국 / 감자탕 / 우거지 / 칼국수,-,국물 토핑 / 무침 / 가루,✓,✓
102,딜,냉장,0~4℃,1주,젖은 키친타월 감싸 냉장,연어 / 요거트 / 감자,-,드레싱 / 양념 / 피클,✓,✓
103,딸기,냉장,0~4℃,3~5일,농진청: 꼭지 유지하고 씻지 않은 채 냉장. 먹기 직전 세척. 곰팡이 주의,우유 / 요거트 / 연유,-,생식 / 잼 / 스무디,✓,✓
104,땅콩,실온/냉장/냉동,실온 밀폐 / 냉장 / 냉동,실온 1~3개월 / 냉장 6개월 / 냉동 1~2년,산패 방지. 밀폐 보관. 장기 보관 시 냉장·냉동,견과류 믹스 / 꿀 / 초콜릿,맥주,볶음 / 가루 내기 / 소스,✓,✓
105,땅콩버터,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 후 실온 3개월 / 냉장 6개월~1년,산패 방지. 수분 매우 낮아 저장성 좋음,바나나 / 식빵 / 셀러리,-,스프레드 / 소스 / 쿠키,✓,✓
106,떡,냉동,-18℃ 이하,2~3개월,식약처: 실온 당일 / 냉장 시 전분 노화로 딱딱해짐. 냉동 필수,김치 / 꿀 / 조청 / 김,-,떡국 / 구이 / 볶음,✓,✓
107,떡국떡,냉동,-18℃ 이하,2~3개월,실온 당일. 밀봉 냉동,소고기 / 만두 / 계란 / 김,-,떡국 / 떡만둣국,✓,✓
108,떡볶이떡,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,냉장 3~5일 / 냉동 2~3개월,밀봉 보관. 냉장 시 굳음 주의,어묵 / 고추장 / 양배추,-,떡볶이 / 구이 / 조림,✓,✓
109,또띠아,실온/냉장/냉동,실온 밀폐 / 냉장 / 냉동,개봉 전 유통기한 / 개봉 후 냉장 1주 / 냉동 2~3개월,밀봉 보관. 건조 시 딱딱해짐,치즈 / 살사 / 아보카도 / 닭고기,-,부리또 / 타코 / 퀘사디야,✓,✓
110,라면,실온,밀폐 건냉소,개봉 전 유통기한(6개월 이상) / 개봉 후 3개월,식약처 기준. 직사광선·고온 피하기,김치 / 계란 / 파 / 떡,콜라,끓이기 / 비빔 / 볶음,✓,✓
111,라이스페이퍼,실온,밀폐 건냉소,1~2년,건조품. 밀폐 보관. 습기 주의,새우 / 숙주 / 고수,-,월남쌈 / 튀김,✓,✓
112,레몬,실온/냉장,실온 10~15℃ / 냉장 5~10℃,실온 1주 / 냉장 3~4주,밀봉하면 냉장 더 오래 보관 가능,굴 / 생선 / 꿀,-,즙 짜기 / 제스트 / 드레싱,✓,✓
113,레몬즙,냉장/냉동,냉장 0~4℃ / 냉동 -18℃,개봉 후 냉장 4~6개월 / 냉동 1년,시판 제품. 산도 높아 저장성 좋음,생선 / 샐러드 / 홍차,-,드레싱 / 양념 / 음료,✓,✓
114,로즈마리,냉장,0~4℃,2~3주,비교적 오래감. 젖은 키친타월 감싸 냉장. 건조품도 유통,양고기 / 감자 / 올리브유,-,오븐구이 / 향 내기 / 허브,✓,✓
115,마늘,실온/냉장/냉동,실온 10~15℃ 그늘 / 냉장 0~4℃,통마늘 실온 1개월 / 냉장 몇 개월 / 다진 것 냉동 3개월,농진청: 그물망에 담아 10~15℃. 냉장한 마늘은 실온 이동 시 싹 틈,꿀 / 돼지고기 / 고기 양념 전반 / 고추장,-,양념 / 볶음 / 구이,✓,✓
116,마늘가루,실온,밀폐 건냉소,2~3년,밀폐 필수,스테이크 시즈닝 / 파스타 / 수프,-,양념 / 간 맞춤,✓,✓
117,마늘쫑,냉장,0~4℃,2~3주,키친타월 감싸 밀봉 냉장,멸치 / 간장 / 건새우,-,볶음 / 장아찌 / 무침,✓,✓
118,마라소스,실온/냉장,실온 건냉소 / 개봉 후 냉장,개봉 전 유통기한 / 개봉 후 냉장 6개월,중국식 소스. 개봉 후 냉장,소고기 / 두부 / 분모자,-,마라탕 / 훠궈 / 마라샹궈,✓,✓
